ArbitrageEntry(bid=PriceVolume(price=27.0956, volume=0.37), ask=PriceVolume(price=27.095, volume=0.37), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:00:08')
ArbitrageEntry(bid=PriceVolume(price=27.0551, volume=2.81), ask=PriceVolume(price=27.054, volume=2.81), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:00:54')
ArbitrageEntry(bid=PriceVolume(price=27.0628, volume=17.08), ask=PriceVolume(price=27.062, volume=17.08), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:02:59')
ArbitrageEntry(bid=PriceVolume(price=27.0628, volume=17.08), ask=PriceVolume(price=27.062, volume=17.08), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:02:59')
ArbitrageEntry(bid=PriceVolume(price=27.0992, volume=1.55), ask=PriceVolume(price=27.098, volume=1.55), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:03:16')
ArbitrageEntry(bid=PriceVolume(price=27.0789, volume=12.02), ask=PriceVolume(price=27.078, volume=12.02), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:03:28')
ArbitrageEntry(bid=PriceVolume(price=27.0789, volume=12.02), ask=PriceVolume(price=27.078, volume=12.02), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:03:28')
ArbitrageEntry(bid=PriceVolume(price=27.0789, volume=12.02), ask=PriceVolume(price=27.078, volume=12.02), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:03:28')
ArbitrageEntry(bid=PriceVolume(price=27.0686, volume=3.76), ask=PriceVolume(price=27.067, volume=3.76), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:03:31')
ArbitrageEntry(bid=PriceVolume(price=27.0686, volume=3.76), ask=PriceVolume(price=27.067, volume=3.76), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:03:31')
ArbitrageEntry(bid=PriceVolume(price=27.1183, volume=20.697), ask=PriceVolume(price=27.118, volume=20.697), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:03:34')
ArbitrageEntry(bid=PriceVolume(price=27.1092, volume=0.67), ask=PriceVolume(price=27.103, volume=0.67), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:03:36')
ArbitrageEntry(bid=PriceVolume(price=27.0551, volume=0.17800000000000005), ask=PriceVolume(price=27.054, volume=0.17800000000000005), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:03:54')
ArbitrageEntry(bid=PriceVolume(price=27.0551, volume=0.17800000000000005), ask=PriceVolume(price=27.054, volume=0.17800000000000005), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:03:54')
ArbitrageEntry(bid=PriceVolume(price=27.0557, volume=0.078), ask=PriceVolume(price=27.054, volume=0.078), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:03:55')
ArbitrageEntry(bid=PriceVolume(price=27.0551, volume=2.81), ask=PriceVolume(price=27.054, volume=2.81), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:03:56')
ArbitrageEntry(bid=PriceVolume(price=27.0609, volume=2.86), ask=PriceVolume(price=27.06, volume=2.86), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:04:03')
ArbitrageEntry(bid=PriceVolume(price=27.0609, volume=2.86), ask=PriceVolume(price=27.06, volume=2.86), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:04:03')
ArbitrageEntry(bid=PriceVolume(price=26.9005, volume=0.39), ask=PriceVolume(price=26.9, volume=0.39), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:05:56')
ArbitrageEntry(bid=PriceVolume(price=26.9005, volume=0.39), ask=PriceVolume(price=26.9, volume=0.39), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:05:56')
ArbitrageEntry(bid=PriceVolume(price=26.8774, volume=0.74), ask=PriceVolume(price=26.876, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:06:22')
ArbitrageEntry(bid=PriceVolume(price=26.8726, volume=0.26), ask=PriceVolume(price=26.87, volume=0.26), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:06:43')
ArbitrageEntry(bid=PriceVolume(price=26.8726, volume=0.26), ask=PriceVolume(price=26.87, volume=0.26), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:06:43')
ArbitrageEntry(bid=PriceVolume(price=26.8664, volume=0.28), ask=PriceVolume(price=26.866, volume=0.28), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:06:44')
